Carimbo de data/hora,Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo ou terra indígena mencionado,"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
17/04/2023 10:54:35,Aconteceu especial no. 12,SP,FUNAI anula certidão negativa,16/04/1982,Não consta,Nambiquara,SORAMA - Comercial e importadora S/A,Não,,Não,,,Paulo Moreira Leal (Pres. FUNAI) anula certidão negativa concedida à SORAMA;,https://www.docvirt.com/docreader.net/HemeroIndio/6502
28/04/2023 10:41:29,Porantim Ano IV No. 38,AM,Obediência à lei,01/04/1982,Não consta,Waimiri; Atroari;,Paranapanema; CIMI; Prelazia de Itacoatiara; Coronel Paulo Leal;,Não,,Não,,,CIMI alega que Paranapanema não possui certidões negativas e por isso deve se retirar a área;,https://www.docvirt.com/docreader.net/HemeroIndio/3549
02/06/2023 15:29:14,O Estado de São Paulo,SP,Mineradora abre estrada na reserva,13/03/1982,,"Waimiri-Atroari (""vaimiri-atroari"");",Paranapanema ; Rodovia Manaus-Caracaraí; Bispo Jorge Marskell; Cimi; ,Não,,Não,,,"O bispo e o Cimi alegam que a Paranapanema não possui certidões negativas para atuar na área; Além disso, protestam contra decreto presidencial de 23 de novembro de 1981 que diminuiu em 30% a área indígena;",https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3870
17/04/2023 10:21:38,Aconteceu - no. 12,SP,FUNAI é acusada de liberar reserva Atroari à mineração,16/02/1982,Não consta,Atroari,Mineradora Paranapanema; Cel. Claudio Pagano (Diretor do DGPI); Hidelgard Rick; Nei da Fonseca; Giuseppe Craveiro;,Não,,Sim,Egidio Schwade,Membro do CIMI,Schwade acusa FUNAI e presidente Figueiredo de liberar área indígena para mineração;,https://www.docvirt.com/docreader.net/HemeroIndio/6496
17/04/2023 10:47:49,Aconteceu especial no. 12,SP,Em andamento demarcação Nambiquara,16/02/1982,Não consta,Nambiquara,Polo Noroeste; Rodovia 364; ,Não,,Não,,,"Banco Mundial exige demarcação da área Nambiquara, para financiar rodovia; 16 empresas conseguiram certidão negativa na área;",https://www.docvirt.com/docreader.net/HemeroIndio/6502
17/04/2023 10:34:39,Aconteceu Especial no. 12,SP,Parlamentar admite possuir fazenda em área indígena,11/02/1982,Não consta,Nambiquara,Antônio Morimoto (PDS-SP);,Não,,Sim,Antônio Morimoto,Parlamentar e fazendeiro,"O parlamentar mostra certidão negativa assinada por Bandeira de Mello, para garantir posse de terra em área indígena;",https://www.docvirt.com/docreader.net/HemeroIndio/6502
02/06/2023 15:22:09,A Crítica,,Deputada denuncia crise no Alto Solimões,14/08/1981,,,"Deputada Beth Azize (PMDB); Banco do Brasil; Marcos Benn (""representante"" da FUNAI na região)",Não,,Sim,Deputada Beth Azize,Deputada federal,Deputada fala que a Portaria 574/79 é abuso e atravanca as atividades de madeireiros e seringalistas;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3579
26/04/2023 21:19:13,Porantim Ano IV No. 31,AM,Antropólogo demitido por ser incompatível,01/08/1981,Não consta,Apurinã,,Não,,Não,,,"Menciona antropólogo da FUNAI, Benedito Tadeu César, que se recusou a assinar Certidões Negativas;",https://www.docvirt.com/docreader.net/HemeroIndio/3419
24/05/2023 12:50:07,Folha de São Paulo ,SP,Antropólogo é demitido por sugerir ampliação,07/06/1981,,Apurinã; ,Benedito Tadeu César; Claudio Pagano,Não,,Não,,,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/2008
24/05/2023 18:23:26,O Estado de São Paulo,SP,FUNAI limita a emissão de certidões negativas,04/06/1981,,,,Não,,Sim,Cel. Nobre da Veiga,Presidente da FUNAI,,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/3226
