Nome do Jornal ou Revista,Estado da federação da publicação,Título do texto,Data da publicação,Nome do autor do texto,Povo indígena mencionado,TI Mencionada (entre parênteses o nome atual),Povos Possivelmente Afetados (Povos mencionados + povos que habitam as TIs mencionadas),"Nomes de empresas, fazendas ou indivíduos mencionados",Entrevista algum indígena?,Qual o nome do indígena entrevistado?,Há não-indígena entrevistado?,Nome do não-indígena entrevistado,Cargo ou profissão do não-indígena entrevistado,"Se houver, evento mencionado (violência, crimes, etc)",Link da notícia
Folha de São Paulo,AM,Deu nos jornais - Paresí exigem suas terras;,01/07/1983,"Folha de São Paulo, maio de 83",Paresí,,Paresí,Delegado da FUNAI em Cuiabá Cel. Darci Cunha; Governador Júlio Campos; Paralelo 14;,Sim,Daniel Matenho Cabixi,Não,,,INDÍCIO DE CONFLITO: Fazendeiros com certidão negativa abrem picadas em terras indígenas,https://www.docvirt.com/docreader.net/HemeroIndio/3755
Porantim,AM,A política indigenista da Nova República - Rikbaktsa,01/10/1985,Não consta,Rikbaktsa,Escondido (T.I. Escondido); Japuíra (T.I. Japuíra),Rikbaktsa,Luiz Tavares; Cotriguaçu Colonizadora do Aripuanã S/A;,Não,,Não,,,"Luiz Tavares ocupou área em função de certidão negativa, mas graças ao decreto 51.027, os indígenas continuam ocupando as terras;",https://www.docvirt.com/docreader.net/HemeroIndio/4132
Porantim,AM,Apoena Meirelles é o novo presidente da velha FUNAI,01/12/1985,Não consta,Enauenê-Nauê,,Enawenê-nawê,Hamilton Figueiredo;,Não,,Não,,,INDÍCIO IMPORTANTE - SUSPEITA DE CORRUPÇÃO Hamilton Figueiredo é investigado por facilitar certidão negativa em reserva dos Enauenê-Nauê; (qual foi o fim desse caso???),https://www.docvirt.com/docreader.net/HemeroIndio/4159
Porantim,DF,Justiça determina desintrusão de terra indígena Awá-Guajá - Breve histórico do processo de demarcação de terra;,01/08/2009,Rosana Diniz,Awá-Guajá,,Awa Guajá,,Não,,Não,,,FUNAI emitiu certidão negativa que incide sobre território Awá-Guajá,https://www.docvirt.com/docreader.net/HemeroIndio/1760
A Crítica,AM,"Deu nos jornais - ""Cimi apoia Darcy contra Rangel Reis""",01/09/1978,"""A Crítica""",Kulina,Alto envira (T.I. Riozinho do Alto Envira),Kulina; Ashaninka; Isolados do Rio Jaminawá; Isolados do Riozinho do Alto Envira,Grupo Atlântico Boa Vista; Gen. Bandeira de Mello; Pe. Egídio;,Não,,Não,,,Pe. Egídio acusou FUNAI de emitir certidão negativa em terras indígenas;,https://www.docvirt.com/docreader.net/HemeroIndio/3049
Povos Indígenas no Brasil,SP,Mineradora pede certidão negativa à FUNAI,01/08/1994,Porfírio Carvalho,Waimiri-Atroari,,Waimiri-Atroari,Mineração Taboca; Projeto Pitinga; Paranapanema;,Não,,Não,,,A requisição da certidão negativa parece incidir sobre área a qual já fora ocupada por indígenas,https://www.docvirt.com/docreader.net/HemeroIndio/16351
Povos Indígenas no Brasil,SP,Os direitos dos Erikbaktsa: interesses impedem demarcação da área indígena do Escondido,01/12/1994,Rinaldo S. V. Arruda,Erikbaktsa,Área do Escondido (T.I. escondido),Rikbaktsa; Apiaká,Missão Anchieta; Codemat;,Não,,Não,,,"O texto delata transferência compulsória dos Erikbaktsa (pela FUNAI e Missão Anchieta) e anos depois, emissão de certidão negativa relativa à área que era ocupada pelos indígenas;",https://www.docvirt.com/docreader.net/HemeroIndio/16682
O Liberal,PA,Comissão divulga relatório final,16/12/1994,Jornal O Liberal,Tembé,Área Indígena Alto Rio Guamá (T.I. Alto Rio Guamá),Tembé,Gal. Bandeira de Mello; Rosa Madeireira; Serraria Marajoara; Cia. Agropecuária do Pará; Gleba Cidapar; Mejer Industrial LTDA; Deputado Neuton Miranda (PCdoB); Edimilson Rodrigues (PT); Luís Cunha (PDT); José Francisco (PMDB); Teodoro Nagano (PPR);,Não,,Não,,,"Relatório Tembé Tenetehara - A nação resiste; A uma série de apontamentos a respeito de invasões da área Tembé; Tudo começa com certidão negativa de 1970, assinada por Bandeira de Mello;",https://www.docvirt.com/docreader.net/HemeroIndio/16542
Diário de Cuiabá,SP,ONGs denunciam acordo irregular,21/11/1997,Não consta,Bororo,T.I. Tereza Cristina,Bororo,Diretor Regional da FUNAI Idevar Sardinha; Fazendeiro João Rodrigues Jimenez; Procurador da República Roberto Cavalcanti; Missão salesiana;,Não,,Não,,,Denúncia de benfeitorias em troca de certidão negativa;,https://www.docvirt.com/docreader.net/HemeroIndio/17679
Diário Oficial da União,SP,A situação das terras,01/01/2000,DOU,Tenharim,T.I. Sepoti,Tenharim,Valdenor C. da Costa,Não,,Não,,,"""o cartório já havia emitido certidão negativa, caracterizando a existência de ocupantes não-índios""; NÃO ENTENDI",https://www.docvirt.com/docreader.net/HemeroIndio/17451
Revista Agroeste,Não consta,Prostituição,01/03/1980,Não consta,Merure,,Merure,Manoel Borges da Silva - Manoel Preto,Não,,Sim,Manoel Preto,Fazendeiro,"Chacina de Merure, 15 de julho de 1956",
Revista Agroeste,Não consta,"""Memorial"" (deduzido do próprio texto)",01/03/1980,Não consta,Não consta,,,Não consta,Não,,Não,,,"O texto é endereçado a um presidente, reclamando há muitas terras indígenas sendo demarcadas em Barra do Garças",https://www.docvirt.com/docreader.net/AcervPeI/948
Revista Agroeste,Não consta,A FUNAI tornou-se a estranguladora do nosso progresso,01/03/1980,Não consta,Xavante,,Xavante,Não consta,Não,,Não,,,Doação de terras pelo estado do MT ao SPI e depois redução progressiva dessas terras,https://www.docvirt.com/docreader.net/AcervPeI/950
Terra Indígena,SP,O Documento do CIMI - Balanço do ano de 1985 e exigências para uma nov política indigenista,01/01/1985,Não consta,Pirahã (sub-grupo dos Mura);,,Mura,Otávio Ferreira Lima,Não,,Não,,,"Certidão negativa incide sobre área dos Pirahã. Portaria 1650, de 14.06.84 estabeleceu GT para investigar, mas relatório não foi entregue;",https://www.docvirt.com/docreader.net/HemeroIndio/54118
Terra Indígena,SP,Terras indígenas e os posseiros,01/12/1987,Não consta,Pacaa Nova; Karipuna;,,Pacaa-Nova; Karipuna;,Projeto Buraqueiro; Adolpho Rohl,Não,,Não,,,Indício de certidões negativas nas terras dos Pacaa Nova;,https://www.docvirt.com/docreader.net/HemeroIndio/53692
Tribuna de Roraima,RR,FUNAI prejudica oito projetos em Roraima,15/04/1988,Não consta,,,,Grupo Kimak; Daniel Marques de Souza;,Não,,Não,,,FUNAI cancela certidões negativas;,https://www.docvirt.com/docreader.net/HemeroIndioRecortes/15944
Varadouro,AC,Entrevista Apoena Meirelles,01/06/1978,,Não consta,,,,Não,,Sim,Apoena Meirelles,Sertanista,Apoena afirma que certidões negtivas estão sendo canceladas,https://www.docvirt.com/docreader.net/HemeroIndio/32327
Varadouro,AC,Seis mentiras sobre o índio,01/12/1978,Não consta,Caxinauá,,Kaxinawá,"José Ramos, gerente do Basa; Basa; Probor II;",Não,,Sim,Terri Valle de Aquino,Antropólogo,Terri denuncia que José Ramos concedeu empréstimos sem exigir apresentação de certidões negativas - vale desenvolver o argumento de que as certidões não eram obedecidas;,https://www.docvirt.com/docreader.net/HemeroIndio/32439
Varadouro,AC,"Valente, mas contraditório",01/10/1979,Não consta,Campa; Culina; Poianáua; Nuquini; Jaminaua; Arara; Catuquina; Manchineri; Jamamadi; Apurinã; Marinaua; Iauanawa; Caxarari; Caxinauá;,,Ashaninka; Kulina; Puyanawa; Nukini; Yaminawá; Arara; Katukina; Manchineri; Jamamadi; Apurinã; Yaminawá; Kaxinawá,"Companhia Novo Oeste S/A; General Bandeira de Mello; Grupo Atlântica Boa Vista; José Carvalho, primeiro chefe da Ajudância da Funai no Acre;",Não,,Não,,,"Menciona-se que José Carvalho emitiu certidões negativas em áreas indígenas no Acre; Menciona-se que José Carvalho descobriu certidão negativa fria, produzida em Brasília, por Bandeira de Mello. O fato foi denunciado por José Carvalho;",https://www.docvirt.com/docreader.net/HemeroIndio/32495
